date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62640,"srcintf=""port14""","srcintfrole=""lan""",dstip=50.20.20.179,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800663,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""United","States""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=112,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62634,"srcintf=""port14""","srcintfrole=""lan""",dstip=100.210.8.116,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800661,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""United","States""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=72,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62624,"srcintf=""port14""","srcintfrole=""lan""",dstip=30.10.50.149,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800659,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""United","States""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=224,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62618,"srcintf=""port14""","srcintfrole=""lan""",dstip=30.10.50.149,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800657,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""United","States""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=840,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62610,"srcintf=""port14""","srcintfrole=""lan""",dstip=10.210.32.74,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800653,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""Reserved""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=792,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62604,"srcintf=""port14""","srcintfrole=""lan""",dstip=30.10.50.149,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800651,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""United","States""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=824,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62588,"srcintf=""port14""","srcintfrole=""lan""",dstip=100.210.8.116,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800647,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""United","States""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=960,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62586,"srcintf=""port14""","srcintfrole=""lan""",dstip=30.10.50.149,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800645,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""United","States""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=640,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62577,"srcintf=""port14""","srcintfrole=""lan""",dstip=10.210.32.74,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800641,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""Reserved""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=232,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,,
date=2019-04-25,time=11:10:58,"logid=""0004000017""","type=""traffic""","subtype=""sniffer""","level=""notice""","vd=""root""",eventtime=1556158258,srcip=14.32.109.30,"srcname=""PC-SECURITY-SPC""",srcport=62570,"srcintf=""port14""","srcintfrole=""lan""",dstip=30.10.50.149,dstport=22,"dstintf=""port14""","dstintfrole=""lan""",sessionid=315800637,proto=17,"action=""accept""",policyid=4,"policytype=""sniffer""","service=""udp/15035""","dstcountry=""United","States""","srccountry=""Reserved""","trandisp=""snat""",transip=0.0.0.0,transport=0,duration=180,sentbyte=40,rcvdbyte=0,sentpkt=0,rcvdpkt=0,"appcat=""unscanned""","devtype=""Windows","PC""","devcategory=""None""","osname=""Windows""","osversion=""7""","mastersrcmac=""00:19:99:c5:ea:30""","srcmac=""00:19:99:c5:ea:30""",srcserver=0,,,,,,,,,,,,,,
